"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"d:\emoteBotFinal\Handlers\CommandHandler.js", "JavaScript", 113, 0, 3, 8, 124
"d:\emoteBotFinal\Handlers\Commands.js", "JavaScript", 208, 0, 0, 62, 270
"d:\emoteBotFinal\Handlers\EmoteHandler.js", "JavaScript", 15, 0, 0, 4, 19
"d:\emoteBotFinal\Handlers\MessageHandler.js", "JavaScript", 40, 0, 0, 13, 53
"d:\emoteBotFinal\Handlers\PresenceHandler.js", "JavaScript", 11, 0, 0, 4, 15
"d:\emoteBotFinal\Handlers\ServerHandler.js", "JavaScript", 58, 0, 0, 17, 75
"d:\emoteBotFinal\animalvideos.json", "JSON", 0, 33, 0, 0, 33
"d:\emoteBotFinal\animalvideosubmissions.json", "JSON", 0, 18, 0, 0, 18
"d:\emoteBotFinal\defaultServer.json", "JSON", 0, 9, 0, 0, 9
"d:\emoteBotFinal\index.js", "JavaScript", 22, 0, 5, 6, 33
"d:\emoteBotFinal\package-lock.json", "JSON", 0, 462, 0, 1, 463
"d:\emoteBotFinal\package.json", "JSON", 0, 16, 0, 1, 17
"Total", "-", 467, 538, 8, 116, 1129
